所有故事词汇汇总（按首次出现的故事顺序排列）

序号,词汇,中文释义,首次出现故事编号,首次出现故事名称,出现总次数
390,"team","团队",3,"重生之商业女王_重生归来",1
391,"loyalty","忠诚",3,"重生之商业女王_重生归来",3
392,"mechanism","机制",3,"重生之商业女王_重生归来",1
393,"inspire","激励",3,"重生之商业女王_重生归来",63
394,"delegate","授权",3,"重生之商业女王_重生归来",1
395,"reward","奖励",3,"重生之商业女王_重生归来",3
396,"foundation","基础",3,"重生之商业女王_重生归来",9
397,"enhance","提升",3,"重生之商业女王_重生归来",2
398,"range","范围",3,"重生之商业女王_重生归来",1
399,"balance","平衡",3,"重生之商业女王_重生归来",9
400,"solve","解决",3,"重生之商业女王_重生归来",3
401,"goal","目标",3,"重生之商业女王_重生归来",5
402,"change","改变",3,"重生之商业女王_重生归来",17
403,"achievement","成就",3,"重生之商业女王_重生归来",4
404,"empty","空虚的",3,"重生之商业女王_重生归来",3
405,"success","成功",3,"重生之商业女王_重生归来",8
406,"gratitude","感激",3,"重生之商业女王_重生归来",5
407,"distinct","明显的",3,"重生之商业女王_重生归来",4
408,"compensate","补偿",3,"重生之商业女王_重生归来",5
409,"confuse","迷茫",3,"重生之商业女王_重生归来",12
410,"fuel","燃料",3,"重生之商业女王_重生归来",1
411,"fresh","崭新的",3,"重生之商业女王_重生归来",4
412,"crown","王冠",3,"重生之商业女王_重生归来",1
413,"claim","夺取",3,"重生之商业女王_重生归来",3
414,"stable","稳定",4,"重生之商业女王_商业布局",7
415,"development","发展",4,"重生之商业女王_商业布局",1
416,"rational","理性的",4,"重生之商业女王_商业布局",11
417,"advance","提前",4,"重生之商业女王_商业布局",3
418,"competitive","竞争的",4,"重生之商业女王_商业布局",2
419,"contest","竞争",4,"重生之商业女王_商业布局",1
420,"dawn","黎明",4,"重生之商业女王_商业布局",4
421,"sufficient","充分的",4,"重生之商业女王_商业布局",1
422,"dominate","主导",4,"重生之商业女王_商业布局",3
423,"variety","多样",4,"重生之商业女王_商业布局",1
424,"verify","验证",4,"重生之商业女王_商业布局",3
425,"competitor","竞争对手",4,"重生之商业女王_商业布局",8
426,"database","数据库",4,"重生之商业女王_商业布局",1
427,"compare","比较",4,"重生之商业女王_商业布局",3
428,"phenomenon","现象",4,"重生之商业女王_商业布局",2
429,"survive","生存",4,"重生之商业女王_商业布局",5
430,"patience","耐心",4,"重生之商业女王_商业布局",23
431,"insight","洞察力",4,"重生之商业女王_商业布局",8
432,"prospect","前景",4,"重生之商业女王_商业布局",4
433,"efficient","高效的",4,"重生之商业女王_商业布局",8
434,"intensive","密集的",4,"重生之商业女王_商业布局",2
435,"core","核心",4,"重生之商业女王_商业布局",2
436,"discussion","讨论",4,"重生之商业女王_商业布局",1
437,"blueprint","蓝图",4,"重生之商业女王_商业布局",1
438,"ambitious","有雄心的",4,"重生之商业女王_商业布局",6
439,"brilliant","出色的",4,"重生之商业女王_商业布局",13
440,"influence","影响力",4,"重生之商业女王_商业布局",6
441,"leader","领导者",4,"重生之商业女王_商业布局",7
442,"essential","必要的",4,"重生之商业女王_商业布局",2
443,"product","产品",4,"重生之商业女王_商业布局",1
444,"specific","明确的",4,"重生之商业女王_商业布局",2
445,"prioritize","优先",4,"重生之商业女王_商业布局",1
446,"creative","创造性的",4,"重生之商业女王_商业布局",4
447,"flexible","灵活的",4,"重生之商业女王_商业布局",3
448,"coverage","覆盖",4,"重生之商业女王_商业布局",2
449,"service","服务",4,"重生之商业女王_商业布局",1
450,"maximize","最大化",4,"重生之商业女王_商业布局",1
451,"strategic","战略性的",4,"重生之商业女王_商业布局",3
452,"carefully","精心",4,"重生之商业女王_商业布局",20
453,"position","定位",4,"重生之商业女王_商业布局",4
454,"reflect","反映",4,"重生之商业女王_商业布局",6
455,"procedure","过程",4,"重生之商业女王_商业布局",2
456,"anxious","焦虑",4,"重生之商业女王_商业布局",7
457,"soothe","安抚",4,"重生之商业女王_商业布局",2
458,"cooperate","合作",4,"重生之商业女王_商业布局",10
459,"barrier","障碍",4,"重生之商业女王_商业布局",3
460,"brainstorm","头脑风暴",4,"重生之商业女王_商业布局",1
461,"mutual","相互的",4,"重生之商业女王_商业布局",2
462,"establish","建立",4,"重生之商业女王_商业布局",14
463,"prototype","原型",4,"重生之商业女王_商业布局",1
464,"evaluation","评估",4,"重生之商业女王_商业布局",3
465,"enthusiastic","热情",4,"重生之商业女王_商业布局",11
466,"treasure","财富",4,"重生之商业女王_商业布局",10
467,"trial","试",4,"重生之商业女王_商业布局",1
468,"imitate","模仿",4,"重生之商业女王_商业布局",1
469,"hostile","敌对的",4,"重生之商业女王_商业布局",5
470,"anticipate","预料",4,"重生之商业女王_商业布局",4
471,"technology","技术",4,"重生之商业女王_商业布局",2
472,"secure","安全",4,"重生之商业女王_商业布局",2
473,"intellectual","知识产权",4,"重生之商业女王_商业布局",1
474,"transparent","透明的",4,"重生之商业女王_商业布局",1
475,"essence","本质",4,"重生之商业女王_商业布局",2
476,"stimulate","激发",4,"重生之商业女王_商业布局",1
477,"collaboration","合作",4,"重生之商业女王_商业布局",1
478,"synergy","协同效应",4,"重生之商业女王_商业布局",1
479,"formulate","制定",4,"重生之商业女王_商业布局",2
480,"index","指标",4,"重生之商业女王_商业布局",1
481,"measure","衡量",4,"重生之商业女王_商业布局",4
482,"progress","进展",4,"重生之商业女王_商业布局",5
483,"transformation","转型",4,"重生之商业女王_商业布局",1
484,"sustain","持续",4,"重生之商业女王_商业布局",1
485,"promote","推进",4,"重生之商业女王_商业布局",16
486,"premium","优质的",4,"重生之商业女王_商业布局",1
487,"flow","流量",4,"重生之商业女王_商业布局",2
488,"sale","销售",4,"重生之商业女王_商业布局",1
489,"unique","独特的",4,"重生之商业女王_商业布局",9
490,"achieve","实现",4,"重生之商业女王_商业布局",34
491,"campus","校园",5,"职场逆袭_从实习生到总监_新人入职",6
492,"diploma","毕业证书",5,"职场逆袭_从实习生到总监_新人入职",1
493,"uncertainty","不确定",5,"职场逆袭_从实习生到总监_新人入职",3
494,"application","申请",5,"职场逆袭_从实习生到总监_新人入职",2
495,"recruit","招聘",5,"职场逆袭_从实习生到总监_新人入职",2
496,"commercial","商业",5,"职场逆袭_从实习生到总监_新人入职",1
497,"qualification","资格",5,"职场逆袭_从实习生到总监_新人入职",2
498,"diverse","多样的",5,"职场逆袭_从实习生到总监_新人入职",1
499,"commitment","承诺",5,"职场逆袭_从实习生到总监_新人入职",3
500,"offer","录用通知",5,"职场逆袭_从实习生到总监_新人入职",3
501,"probation","试用期",5,"职场逆袭_从实习生到总监_新人入职",1
502,"career","职业发展",5,"职场逆袭_从实习生到总监_新人入职",7
503,"sunlight","阳光",5,"职场逆袭_从实习生到总监_新人入职",5
504,"shock","震撼",5,"职场逆袭_从实习生到总监_新人入职",5
505,"guide","指引",5,"职场逆袭_从实习生到总监_新人入职",5
506,"regulation","规章",5,"职场逆袭_从实习生到总监_新人入职",1
507,"welfare","福利",5,"职场逆袭_从实习生到总监_新人入职",1
508,"document","文件",5,"职场逆袭_从实习生到总监_新人入职",5
509,"introduce","介绍",5,"职场逆袭_从实习生到总监_新人入职",3
510,"intern","实习生",5,"职场逆袭_从实习生到总监_新人入职",1
511,"applicant","申请人",5,"职场逆袭_从实习生到总监_新人入职",1
512,"seat","座位",5,"职场逆袭_从实习生到总监_新人入职",1
513,"environment","环境",5,"职场逆袭_从实习生到总监_新人入职",11
514,"supply","供应品",5,"职场逆袭_从实习生到总监_新人入职",3
515,"task","任务",5,"职场逆袭_从实习生到总监_新人入职",7
516,"information","信息",5,"职场逆袭_从实习生到总监_新人入职",2
517,"attentive","专注的",5,"职场逆袭_从实习生到总监_新人入职",1
518,"rhythm","节奏",5,"职场逆袭_从实习生到总监_新人入职",5
519,"colleague","同事",5,"职场逆袭_从实习生到总监_新人入职",8
520,"integrate","融入",5,"职场逆袭_从实习生到总监_新人入职",2
521,"assignment","任务",5,"职场逆袭_从实习生到总监_新人入职",1
522,"observe","观察",5,"职场逆袭_从实习生到总监_新人入职",45
523,"contrast","差异",5,"职场逆袭_从实习生到总监_新人入职",1
524,"learn","学习",5,"职场逆袭_从实习生到总监_新人入职",8
525,"key","关键",5,"职场逆袭_从实习生到总监_新人入职",7
526,"attitude","态度",5,"职场逆袭_从实习生到总监_新人入职",18
527,"relationship","关系",5,"职场逆袭_从实习生到总监_新人入职",10
528,"culture","文化",5,"职场逆袭_从实习生到总监_新人入职",4
529,"initiative","主动性",5,"职场逆袭_从实习生到总监_新人入职",3
530,"deadline","截止日期",5,"职场逆袭_从实习生到总监_新人入职",2
531,"deliver","交付",5,"职场逆袭_从实习生到总监_新人入职",12
532,"study","学习",5,"职场逆袭_从实习生到总监_新人入职",8
533,"skill","技能",5,"职场逆袭_从实习生到总监_新人入职",10
534,"horizon","视野",5,"职场逆袭_从实习生到总监_新人入职",1
535,"communicate","沟通",5,"职场逆袭_从实习生到总监_新人入职",10
536,"guidance","指导",5,"职场逆袭_从实习生到总监_新人入职",3
537,"persistence","坚持",5,"职场逆袭_从实习生到总监_新人入职",5
538,"competent","有能力的",5,"职场逆袭_从实习生到总监_新人入职",2
539,"profession","职业",5,"职场逆袭_从实习生到总监_新人入职",2
540,"improvement","改进",5,"职场逆袭_从实习生到总监_新人入职",1
541,"sudden","突然的",6,"职场逆袭_从实习生到总监_遭遇霸凌",4
542,"target","针对",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
543,"bully","霸凌",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
544,"unfair","不公平的",6,"职场逆袭_从实习生到总监_遭遇霸凌",4
545,"injustice","不公正",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
546,"tone","语气",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
547,"sarcasm","讽刺",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
548,"mockery","嘲笑",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
549,"hurt","伤害",6,"职场逆袭_从实习生到总监_遭遇霸凌",5
550,"frustrate","沮丧",6,"职场逆袭_从实习生到总监_遭遇霸凌",4
551,"handle","处理",6,"职场逆袭_从实习生到总监_遭遇霸凌",6
552,"psychological","心理的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
553,"positive","积极的",6,"职场逆袭_从实习生到总监_遭遇霸凌",10
554,"temporary","暂时的",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
555,"hardship","艰难",6,"职场逆袭_从实习生到总监_遭遇霸凌",10
556,"encourage","鼓励",6,"职场逆袭_从实习生到总监_遭遇霸凌",76
557,"defense","防线",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
558,"criticize","批评",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
559,"harsh","严厉的",6,"职场逆袭_从实习生到总监_遭遇霸凌",4
560,"embarrass","使尴尬",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
561,"humiliation","羞辱",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
562,"public","公开的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
563,"insult","侮辱",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
564,"remark","言论",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
565,"incompetent","无能的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
566,"unqualified","不合格的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
567,"label","标签",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
568,"verbal","言语的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
569,"harassment","骚扰",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
570,"inferior","低等的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
571,"worthless","无价值的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
572,"relation","关系",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
573,"sacrifice","牺牲",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
574,"whisper","低语",6,"职场逆袭_从实习生到总监_遭遇霸凌",6
575,"false","虚假的",6,"职场逆袭_从实习生到总监_遭遇霸凌",4
576,"insufficient","不足的",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
577,"spread","传播",6,"职场逆袭_从实习生到总监_遭遇霸凌",6
578,"malicious","恶意的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
579,"slander","诽谤",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
580,"isolate","孤立",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
581,"complicate","复杂",6,"职场逆袭_从实习生到总监_遭遇霸凌",8
582,"exclude","排挤",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
583,"unwelcome","不受欢迎的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
584,"discriminate","歧视",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
585,"helpless","无助",6,"职场逆袭_从实习生到总监_遭遇霸凌",4
586,"standard","标准",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
587,"uncertain","不确定的",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
588,"artificial","人为的",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
589,"tactic","策略",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
590,"means","手段",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
591,"incapable","无能力的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
592,"obvious","明显的",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
593,"affect","影响",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
594,"recall","回想",6,"职场逆袭_从实习生到总监_遭遇霸凌",17
595,"mental","精神的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
596,"burden","负担",6,"职场逆袭_从实习生到总监_遭遇霸凌",4
597,"physical","身体的",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
598,"symptom","症状",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
599,"damage","损害",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
600,"suggestion","建议",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
601,"avoid","逃避",6,"职场逆袭_从实习生到总监_遭遇霸凌",5
602,"cope","应对",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
603,"regulate","调节",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
604,"breathe","呼吸",6,"职场逆袭_从实习生到总监_遭遇霸凌",4
605,"pause","暂停",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
606,"journal","日记",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
607,"therapy","治疗",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
608,"release","释放",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
609,"seek","寻求",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
610,"advice","建议",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
611,"organizational","组织的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
612,"mention","提及",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
613,"shameless","无耻的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
614,"harm","伤害",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
615,"strengthen","加强",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
616,"method","方法",6,"职场逆袭_从实习生到总监_遭遇霸凌",9
617,"gather","收集",6,"职场逆袭_从实习生到总监_遭遇霸凌",6
618,"interaction","互动",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
619,"witness","证人",6,"职场逆袭_从实习生到总监_遭遇霸凌",7
620,"evidence","证据",6,"职场逆袭_从实习生到总监_遭遇霸凌",19
621,"written","书面的",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
622,"deny","否认",6,"职场逆袭_从实习生到总监_遭遇霸凌",6
623,"distort","歪曲",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
624,"perseverance","坚持",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
625,"result","结果",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
626,"participate","参与",6,"职场逆袭_从实习生到总监_遭遇霸凌",6
627,"recognition","认可",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
628,"build","建立",6,"职场逆袭_从实习生到总监_遭遇霸凌",32
629,"connect","联系",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
630,"warm","热情的",6,"职场逆袭_从实习生到总监_遭遇霸凌",38
631,"sympathize","同情",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
632,"authority","权威",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
633,"sincere","真诚",6,"职场逆袭_从实习生到总监_遭遇霸凌",68
634,"gradually","逐渐",6,"职场逆袭_从实习生到总监_遭遇霸凌",17
635,"mentor","导师",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
636,"serious","严重的",6,"职场逆袭_从实习生到总监_遭遇霸凌",8
637,"policy","政策",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
638,"HR","人力资源部门",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
639,"incident","事件",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
640,"impact","影响",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
641,"warn","警告",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
642,"discipline","纪律处分",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
643,"outcome","结果",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
644,"relieve","释然",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
645,"admire","钦佩",6,"职场逆袭_从实习生到总监_遭遇霸凌",5
646,"behavior","行为",6,"职场逆袭_从实习生到总监_遭遇霸凌",4
647,"fair","公平的",6,"职场逆袭_从实习生到总监_遭遇霸凌",6
648,"arrogant","傲慢",6,"职场逆袭_从实习生到总监_遭遇霸凌",8
649,"humble","谦逊的",6,"职场逆袭_从实习生到总监_遭遇霸凌",29
650,"willpower","意志力",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
651,"principle","原则",6,"职场逆袭_从实习生到总监_遭遇霸凌",5
652,"integrity","正直",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
653,"intelligence","智力",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
654,"lesson","教训",6,"职场逆袭_从实习生到总监_遭遇霸凌",1
655,"brave","勇敢",6,"职场逆袭_从实习生到总监_遭遇霸凌",27
656,"step","步骤",6,"职场逆袭_从实习生到总监_遭遇霸凌",2
657,"justice","正义",6,"职场逆袭_从实习生到总监_遭遇霸凌",8
658,"light","光明",6,"职场逆袭_从实习生到总监_遭遇霸凌",3
659,"vibrant","充满活力的",7,"那年夏天，我们相遇_初见学长",5
660,"excitement","兴奋",7,"那年夏天，我们相遇_初见学长",1
661,"university","大学",7,"那年夏天，我们相遇_初见学长",10
662,"architecture","建筑",7,"那年夏天，我们相遇_初见学长",2
663,"charm","魅力",7,"那年夏天，我们相遇_初见学长",7
664,"flutter","飘动",7,"那年夏天，我们相遇_初见学长",2
665,"prestigious","享有声望的",7,"那年夏天，我们相遇_初见学长",2
666,"plaza","广场",7,"那年夏天，我们相遇_初见学长",1
667,"anticipation","期待",7,"那年夏天，我们相遇_初见学长",3
668,"booth","摊位",7,"那年夏天，我们相遇_初见学长",1
669,"volunteer","志愿者",7,"那年夏天，我们相遇_初见学长",2
670,"admission","入学",7,"那年夏天，我们相遇_初见学长",1
671,"special","特殊的",7,"那年夏天，我们相遇_初见学长",20
672,"unfamiliar","陌生的",7,"那年夏天，我们相遇_初见学长",5
673,"remote","偏远的",7,"那年夏天，我们相遇_初见学长",1
674,"unknown","未知的",7,"那年夏天，我们相遇_初见学长",1
675,"direction","方向",7,"那年夏天，我们相遇_初见学长",3
676,"massive","巨大的",7,"那年夏天，我们相遇_初见学长",1
677,"overwhelm","不知所措",7,"那年夏天，我们相遇_初见学长",1
678,"location","地点",7,"那年夏天，我们相遇_初见学长",1
679,"panic","恐慌",7,"那年夏天，我们相遇_初见学长",4
680,"building","建筑",7,"那年夏天，我们相遇_初见学长",1
681,"attractive","吸引人的",7,"那年夏天，我们相遇_初见学长",1
682,"landscape","风景",7,"那年夏天，我们相遇_初见学长",1
683,"lonely","孤独的",7,"那年夏天，我们相遇_初见学长",7
684,"inquire","询问",7,"那年夏天，我们相遇_初见学长",3
685,"junction","交叉口",7,"那年夏天，我们相遇_初见学长",1
686,"figure","身影",7,"那年夏天，我们相遇_初见学长",7
687,"apologize","道歉",7,"那年夏天，我们相遇_初见学长",5
688,"accelerate","加速",7,"那年夏天，我们相遇_初见学长",11
689,"kindness","善良",7,"那年夏天，我们相遇_初见学长",3
690,"polite","礼貌的",7,"那年夏天，我们相遇_初见学长",12
691,"breeding","教养",7,"那年夏天，我们相遇_初见学长",1
692,"handsome","英俊",7,"那年夏天，我们相遇_初见学长",9
693,"relax","放松",7,"那年夏天，我们相遇_初见学长",7
694,"confusion","困惑",7,"那年夏天，我们相遇_初见学长",1
695,"confident","自信的",7,"那年夏天，我们相遇_初见学长",40
696,"scenery","景观",7,"那年夏天，我们相遇_初见学长",7
697,"ideal","理想的",7,"那年夏天，我们相遇_初见学长",5
698,"laboratory","实验室",7,"那年夏天，我们相遇_初见学长",1
699,"function","功能",7,"那年夏天，我们相遇_初见学长",1
700,"tradition","传统",7,"那年夏天，我们相遇_初见学长",1
701,"outstanding","杰出的",7,"那年夏天，我们相遇_初见学长",5
702,"care","关心",7,"那年夏天，我们相遇_初见学长",34
703,"profile","侧面",7,"那年夏天，我们相遇_初见学长",1
704,"ripple","涟漪",7,"那年夏天，我们相遇_初见学长",2
705,"item","项目",7,"那年夏天，我们相遇_初见学长",1
706,"student","学生",7,"那年夏天，我们相遇_初见学长",2
707,"scholarship","奖学金",7,"那年夏天，我们相遇_初见学长",1
708,"personality","性格",7,"那年夏天，我们相遇_初见学长",2
709,"humorous","幽默",7,"那年夏天，我们相遇_初见学长",1
710,"friendship","友谊",7,"那年夏天，我们相遇_初见学长",2
711,"hobby","爱好",7,"那年夏天，我们相遇_初见学长",2
712,"harmony","和谐",7,"那年夏天，我们相遇_初见学长",13
713,"expression","表情",7,"那年夏天，我们相遇_初见学长",4
714,"orientation","新生指导",7,"那年夏天，我们相遇_初见学长",1
715,"purchase","购买",7,"那年夏天，我们相遇_初见学长",2
716,"moment","时刻",7,"那年夏天，我们相遇_初见学长",11
717,"encounter","遇见",7,"那年夏天，我们相遇_初见学长",15
718,"delight","喜悦",7,"那年夏天，我们相遇_初见学长",8
719,"motivation","动力",7,"那年夏天，我们相遇_初见学长",1
720,"poetic","诗意的",7,"那年夏天，我们相遇_初见学长",1
721,"knowledge","知识",7,"那年夏天，我们相遇_初见学长",4
722,"illustration","例子",7,"那年夏天，我们相遇_初见学长",1
723,"ability","能力",7,"那年夏天，我们相遇_初见学长",19
724,"regular","规律",7,"那年夏天，我们相遇_初见学长",2
725,"highlight","突出",7,"那年夏天，我们相遇_初见学长",4
726,"understanding","理解",7,"那年夏天，我们相遇_初见学长",4
727,"knowledgeable","知识渊博",7,"那年夏天，我们相遇_初见学长",2
728,"thoughtful","体贴",7,"那年夏天，我们相遇_初见学长",6
729,"touched","触动",7,"那年夏天，我们相遇_初见学长",14
730,"talented","有才华的",7,"那年夏天，我们相遇_初见学长",2
731,"interact","互动",7,"那年夏天，我们相遇_初见学长",5
732,"memory","记忆",7,"那年夏天，我们相遇_初见学长",15
733,"longing","憧憬",7,"那年夏天，我们相遇_初见学长",1
734,"memorable","难忘的",7,"那年夏天，我们相遇_初见学长",4
735,"ancient","古老的",7,"那年夏天，我们相遇_初见学长",10
736,"romance","浪漫",7,"那年夏天，我们相遇_初见学长",5
737,"chapter","篇章",7,"那年夏天，我们相遇_初见学长",5
738,"club","社团",8,"那年夏天，我们相遇_社团邂逅",1
739,"activity","活动",8,"那年夏天，我们相遇_社团邂逅",1
740,"member","成员",8,"那年夏天，我们相遇_社团邂逅",1
741,"voice","声音",8,"那年夏天，我们相遇_社团邂逅",8
742,"frequent","频繁",8,"那年夏天，我们相遇_社团邂逅",2
743,"theory","理论",8,"那年夏天，我们相遇_社团邂逅",1
744,"practice","实践",8,"那年夏天，我们相遇_社团邂逅",12
745,"technique","技术",8,"那年夏天，我们相遇_社团邂逅",1
746,"responsible","负责任的",8,"那年夏天，我们相遇_社团邂逅",1
747,"perception","感知",8,"那年夏天，我们相遇_社团邂逅",1
748,"feel","感受",8,"那年夏天，我们相遇_社团邂逅",3
749,"discuss","讨论",8,"那年夏天，我们相遇_社团邂逅",9
750,"comment","评论",8,"那年夏天，我们相遇_社团邂逅",1
751,"active","积极的",8,"那年夏天，我们相遇_社团邂逅",76
752,"organization","组织",8,"那年夏天，我们相遇_社团邂逅",1
753,"community","团体",8,"那年夏天，我们相遇_社团邂逅",1
754,"interest","兴趣",8,"那年夏天，我们相遇_社团邂逅",9
755,"bond","纽带",8,"那年夏天，我们相遇_社团邂逅",26
756,"stage","舞台",8,"那年夏天，我们相遇_社团邂逅",2
757,"characteristic","特点",8,"那年夏天，我们相遇_社团邂逅",4
758,"level","水平",8,"那年夏天，我们相遇_社团邂逅",7
759,"valuable","有价值的",8,"那年夏天，我们相遇_社团邂逅",4
760,"theme","主题",8,"那年夏天，我们相遇_社团邂逅",1
761,"enthusiasm","热情",8,"那年夏天，我们相遇_社团邂逅",4
762,"organizer","组织者",8,"那年夏天，我们相遇_社团邂逅",1
763,"equipment","设备",8,"那年夏天，我们相遇_社团邂逅",3
764,"beauty","美",8,"那年夏天，我们相遇_社团邂逅",1
765,"creativity","创造力",8,"那年夏天，我们相遇_社团邂逅",2
766,"wander","漫步",8,"那年夏天，我们相遇_社团邂逅",5
767,"pattern","图案",8,"那年夏天，我们相遇_社团邂逅",1
768,"song","歌声",8,"那年夏天，我们相遇_社团邂逅",1
769,"artistic","艺术的",8,"那年夏天，我们相遇_社团邂逅",1
770,"sensibility","感悟",8,"那年夏天，我们相遇_社团邂逅",1
771,"focus","聚焦",8,"那年夏天，我们相遇_社团邂逅",25
772,"scene","场景",8,"那年夏天，我们相遇_社团邂逅",3
773,"satisfaction","满足",8,"那年夏天，我们相遇_社团邂逅",13
774,"expose","曝光",8,"那年夏天，我们相遇_社团邂逅",7
775,"happen","碰巧",8,"那年夏天，我们相遇_社团邂逅",64
776,"think","思考",8,"那年夏天，我们相遇_社团邂逅",4
777,"understand","理解",8,"那年夏天，我们相遇_社团邂逅",19
778,"connection","联系",8,"那年夏天，我们相遇_社团邂逅",4
779,"merit","优点",8,"那年夏天，我们相遇_社团邂逅",1
780,"shadow","阴影",8,"那年夏天，我们相遇_社团邂逅",2
781,"hope","希望",8,"那年夏天，我们相遇_社团邂逅",25
782,"combine","结合",8,"那年夏天，我们相遇_社团邂逅",3
783,"satisfy","满意",8,"那年夏天，我们相遇_社团邂逅",8
784,"solidarity","团结",8,"那年夏天，我们相遇_社团邂逅",1
785,"concern","关心",8,"那年夏天，我们相遇_社团邂逅",4
786,"communication","沟通",8,"那年夏天，我们相遇_社团邂逅",2
787,"quiet","宁静",8,"那年夏天，我们相遇_社团邂逅",9
788,"sway","摇曳",8,"那年夏天，我们相遇_社团邂逅",2
789,"sweet","甜蜜",8,"那年夏天，我们相遇_社团邂逅",19
790,"beautiful","美好的",8,"那年夏天，我们相遇_社团邂逅",37
791,"milestone","里程碑",8,"那年夏天，我们相遇_社团邂逅",2
792,"chat","聊天",8,"那年夏天，我们相遇_社团邂逅",4
793,"action","行动",8,"那年夏天，我们相遇_社团邂逅",7
794,"happy","开心",8,"那年夏天，我们相遇_社团邂逅",31
795,"mood","情绪",8,"那年夏天，我们相遇_社团邂逅",2
796,"fragrant","香味",8,"那年夏天，我们相遇_社团邂逅",1
797,"agree","同意",8,"那年夏天，我们相遇_社团邂逅",1
798,"happiness","幸福",8,"那年夏天，我们相遇_社团邂逅",6
